nFrame,nS,nI,nZ,nT
213,200,0,0,200
214,200,0,0,200
215,200,0,0,200
216,200,0,0,200
217,200,0,0,200
218,200,0,0,200
219,200,0,0,200
220,200,0,0,200
221,200,0,0,200
222,200,0,0,200
223,200,0,0,200
224,200,0,0,200
225,200,0,0,200
226,200,0,0,200
227,200,0,0,200
228,200,0,0,200
229,200,0,0,200
230,200,0,0,200
231,200,0,0,200
232,200,0,0,200
233,200,0,0,200
234,200,0,0,200
235,200,0,0,200
236,200,0,0,200
237,200,0,0,200
238,200,0,0,200
239,200,0,0,200
240,200,0,0,200
241,200,0,0,200
242,200,0,0,200
243,200,0,0,200
244,200,0,0,200
245,200,0,0,200
246,200,0,0,200
247,200,0,0,200
248,200,0,0,200
249,200,0,0,200
250,200,0,0,200
251,200,0,0,200
252,200,0,0,200
253,200,0,0,200
254,200,0,0,200
255,200,0,0,200
256,200,0,0,200
257,200,0,0,200
258,200,0,0,200
259,200,0,0,200
260,200,0,0,200
261,200,0,0,200
262,200,0,0,200
263,200,0,0,200
264,200,0,0,200
265,200,0,0,200
266,200,0,0,200
267,200,0,0,200
268,200,0,0,200
269,200,0,0,200
270,200,0,0,200
271,200,0,0,200
272,200,0,0,200
273,200,0,0,200
274,200,0,0,200
275,200,0,0,200
276,200,0,0,200
277,200,0,0,200
278,200,0,0,200
279,200,0,0,200
280,200,0,0,200
281,200,0,0,200
282,200,0,0,200
283,200,0,0,200
284,200,0,0,200
285,200,0,0,200
286,200,0,0,200
287,200,0,0,200
288,200,0,0,200
289,200,0,0,200
290,200,0,0,200
291,200,0,0,200
292,200,0,0,200
293,200,0,0,200
294,200,0,0,200
295,200,0,0,200
296,200,0,0,200
297,200,0,0,200
298,200,0,0,200
299,200,0,0,200
300,200,0,0,200
301,200,0,0,200
302,200,0,0,200
303,200,0,0,200
304,200,0,0,200
305,200,0,0,200
306,200,0,0,200
307,200,0,0,200
308,200,0,0,200
309,200,0,0,200
310,200,0,0,200
311,200,0,0,200
312,200,0,0,200
313,200,0,0,200
314,200,0,0,200
315,200,0,0,200
316,200,0,0,200
317,200,0,0,200
318,200,0,0,200
319,200,0,0,200
320,200,0,0,200
321,200,0,0,200
322,200,0,0,200
323,200,0,0,200
324,200,0,0,200
325,200,0,0,200
326,200,0,0,200
327,200,0,0,200
328,200,0,0,200
329,200,0,0,200
330,200,0,0,200
331,200,0,0,200
332,200,0,0,200
333,200,0,0,200
334,200,0,0,200
335,200,0,0,200
336,200,0,0,200
337,200,0,0,200
338,200,0,0,200
339,200,0,0,200
340,200,0,0,200
341,200,0,0,200
342,200,0,0,200
343,200,0,0,200
344,200,0,0,200
345,200,0,0,200
346,200,0,0,200
347,200,0,0,200
348,200,0,0,200
349,200,0,0,200
350,200,0,0,200
351,200,0,0,200
352,200,0,0,200
353,200,0,0,200
354,200,0,0,200
355,200,0,0,200
356,200,0,0,200
357,200,0,0,200
358,200,0,0,200
359,200,0,0,200
360,200,0,0,200
361,200,0,0,200
362,200,0,0,200
363,200,0,0,200
364,200,0,0,200
365,200,0,0,200
366,200,0,0,200
367,200,0,0,200
368,200,0,0,200
369,200,0,0,200
370,200,0,0,200
371,200,0,0,200
372,200,0,0,200
373,200,0,0,200
374,200,0,0,200
375,200,0,0,200
376,200,0,0,200
377,200,0,0,200
378,200,0,0,200
379,200,0,0,200
380,200,0,0,200
381,199,1,0,200
382,199,1,0,200
383,199,1,0,200
384,199,1,0,200
385,199,1,0,200
386,199,1,0,200
387,199,1,0,200
388,199,1,0,200
389,199,1,0,200
390,199,1,0,200
391,199,1,0,200
392,199,1,0,200
393,199,1,0,200
394,199,1,0,200
395,199,0,1,200
396,198,0,2,200
397,198,0,2,200
398,198,0,2,200
399,198,0,2,200
400,197,1,2,200
401,197,1,2,200
402,197,1,2,200
403,197,1,2,200
404,197,1,2,200
405,197,1,2,200
406,197,1,2,200
407,197,1,2,200
408,197,1,2,200
409,197,1,2,200
410,197,1,2,200
411,197,1,2,200
412,197,1,2,200
413,197,1,2,200
414,197,1,2,200
415,197,1,2,200
416,197,1,2,200
417,197,1,2,200
418,197,1,2,200
419,197,1,2,200
420,197,1,2,200
421,196,2,2,200
422,196,2,2,200
423,196,2,2,200
424,196,1,3,200
425,196,0,4,200
426,196,0,4,200
427,195,1,4,200
428,195,1,4,200
429,194,2,4,200
430,193,3,4,200
431,193,2,5,200
432,193,2,5,200
433,193,1,6,200
434,192,2,6,200
435,192,2,6,200
436,191,3,6,200
437,191,3,6,200
438,191,2,7,200
439,191,1,8,200
440,191,1,8,200
441,191,1,8,200
442,191,1,8,200
443,191,1,8,200
444,191,1,8,200
445,191,0,9,200
446,191,0,9,200
447,190,1,9,200
448,189,2,9,200
449,189,1,10,200
450,188,1,11,200
451,186,2,12,200
452,185,3,12,200
453,184,4,12,200
454,184,4,12,200
455,183,4,13,200
456,182,4,14,200
457,181,4,15,200
458,181,4,15,200
459,181,4,15,200
460,181,3,16,200
461,181,3,16,200
462,181,3,16,200
463,181,3,16,200
464,181,3,16,200
465,179,4,17,200
466,179,4,17,200
467,178,5,17,200
468,177,5,18,200
469,177,5,18,200
470,175,6,19,200
471,174,7,19,200
472,174,7,19,200
473,174,5,21,200
474,174,4,22,200
475,173,5,22,200
476,173,4,23,200
477,173,3,24,200
478,172,4,24,200
479,171,2,27,200
480,171,2,27,200
481,170,3,27,200
482,170,3,27,200
483,169,4,27,200
484,169,4,27,200
485,169,4,27,200
486,168,4,28,200
487,168,4,28,200
488,168,3,29,200
489,167,4,29,200
490,167,4,29,200
491,167,1,32,200
492,166,2,32,200
493,166,2,32,200
494,165,3,32,200
495,164,3,33,200
496,164,3,33,200
497,163,4,33,200
498,162,4,34,200
499,162,4,34,200
500,161,4,35,200
501,161,4,35,200
502,158,7,35,200
503,158,7,35,200
504,156,9,35,200
505,156,9,35,200
506,155,9,36,200
507,154,10,36,200
508,154,6,40,200
509,153,7,40,200
510,153,7,40,200
511,153,7,40,200
512,151,8,41,200
513,150,7,43,200
514,150,5,45,200
515,150,4,46,200
516,148,5,47,200
517,148,2,50,200
518,145,5,50,200
519,144,5,51,200
520,144,4,52,200
521,143,5,52,200
522,141,6,53,200
523,140,7,53,200
524,140,6,54,200
525,137,9,54,200
526,133,13,54,200
527,133,11,56,200
528,133,10,57,200
529,132,10,58,200
530,132,9,59,200
531,131,9,60,200
532,131,9,60,200
533,131,8,61,200
534,130,8,62,200
535,130,8,62,200
536,128,7,65,200
537,127,7,66,200
538,127,6,67,200
539,127,6,67,200
540,127,6,67,200
541,125,7,68,200
542,121,10,69,200
543,119,10,71,200
544,119,9,72,200
545,116,12,72,200
546,115,11,74,200
547,114,11,75,200
548,114,10,76,200
549,114,7,79,200
550,114,6,80,200
551,114,5,81,200
552,113,6,81,200
553,113,6,81,200
554,113,6,81,200
555,112,5,83,200
556,111,5,84,200
557,111,5,84,200
558,110,6,84,200
559,110,6,84,200
560,108,8,84,200
561,107,9,84,200
562,106,10,84,200
563,106,10,84,200
564,104,12,84,200
565,104,11,85,200
566,102,10,88,200
567,102,10,88,200
568,101,11,88,200
569,100,12,88,200
570,100,10,90,200
571,99,8,93,200
572,97,7,96,200
573,96,8,96,200
574,94,9,97,200
575,94,9,97,200
576,94,7,99,200
577,90,11,99,200
578,87,13,100,200
579,85,13,102,200
580,84,14,102,200
581,84,13,103,200
582,84,12,104,200
583,84,11,105,200
584,83,11,106,200
585,81,12,107,200
586,80,11,109,200
587,79,11,110,200
588,76,13,111,200
589,74,15,111,200
590,72,15,113,200
591,70,16,114,200
592,69,15,116,200
593,67,13,120,200
594,64,15,121,200
595,64,13,123,200
596,62,15,123,200
597,62,12,126,200
598,62,10,128,200
599,60,12,128,200
600,60,12,128,200
601,56,11,133,200
602,53,14,133,200
603,52,12,136,200
604,51,13,136,200
605,50,12,138,200
606,47,15,138,200
607,46,14,140,200
608,46,13,141,200
609,44,13,143,200
610,42,15,143,200
611,42,13,145,200
612,39,13,148,200
613,38,13,149,200
614,38,12,150,200
615,38,10,152,200
616,37,11,152,200
617,35,12,153,200
618,33,12,155,200
619,32,9,159,200
620,29,12,159,200
621,29,12,159,200
622,29,9,162,200
623,28,10,162,200
624,27,11,162,200
625,25,12,163,200
626,23,13,164,200
627,23,12,165,200
628,22,13,165,200
629,20,12,168,200
630,19,13,168,200
631,18,14,168,200
632,17,15,168,200
633,16,15,169,200
634,15,16,169,200
635,15,10,175,200
636,15,9,176,200
637,15,8,177,200
638,15,8,177,200
639,15,7,178,200
640,14,7,179,200
641,13,8,179,200
642,13,8,179,200
643,11,9,180,200
644,10,10,180,200
645,8,10,182,200
646,8,10,182,200
647,5,11,184,200
648,5,8,187,200
649,4,9,187,200
650,3,10,187,200
651,3,9,188,200
652,3,9,188,200
653,3,8,189,200
654,2,8,190,200
655,1,8,191,200
656,1,7,192,200
657,1,6,193,200
658,1,6,193,200
659,1,6,193,200
660,1,6,193,200
661,1,5,194,200
662,1,5,194,200
663,1,4,195,200
664,1,4,195,200
665,1,4,195,200
666,1,4,195,200
667,1,4,195,200
668,1,3,196,200
669,1,2,197,200
670,1,2,197,200
671,1,2,197,200
